id,name,category,price,description,colors,sizes,availability,whatsapp_message
1,Royal Silk Kurta,mens,₹4999,"Exquisite handwoven silk kurta with gold thread embroidery. A masterpiece of traditional craftsmanship.","[{""name"":""Crimson"",""value"":""#DC143C"",""images"":[""https://images.unsplash.com/photo-1583391733956-6c78276477e2?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80"",""https://images.unsplash.com/photo-1602810316693-3667c854239a?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Navy"",""value"":""#000080"",""images"":[""https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Emerald"",""value"":""#50C878"",""images"":[""https://images.unsplash.com/photo-1596755094514-f87e34085b2c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""S"",""M"",""L"",""XL"",""XXL""]",In Stock,Hi! I'm interested in the Royal Silk Kurta (₹4999) in {color} size {size}. Please share more details.
2,Premium Business Suit,mens,₹15999,"Italian wool business suit tailored to perfection. Complete with jacket and trousers for the distinguished gentleman.","[{""name"":""Charcoal"",""value"":""#36454F"",""images"":[""https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80"",""https://images.unsplash.com/photo-1594938298603-c8148c4dae35?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Navy"",""value"":""#000080"",""images"":[""https://images.unsplash.com/photo-1593030761757-71fae45fa0e7?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Black"",""value"":""#000000"",""images"":[""https://images.unsplash.com/photo-1605518216938-7c31b7b14ad0?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""36"",""38"",""40"",""42"",""44"",""46""]",Made to Order,Hi! I'm interested in the Premium Business Suit (₹15999) in {color} size {size}. Please share availability details.
3,Executive Blazer,mens,₹7999,"Sophisticated single-breasted blazer crafted from premium wool blend. Perfect for business meetings and formal events.","[{""name"":""Navy"",""value"":""#000080"",""images"":[""https://images.unsplash.com/photo-1593030761757-71fae45fa0e7?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80"",""https://images.unsplash.com/photo-1594736797933-d0282ba17d78?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Charcoal"",""value"":""#36454F"",""images"":[""https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""38"",""40"",""42"",""44"",""46""]",In Stock,Hi! I'm interested in the Executive Blazer (₹7999) in {color} size {size}.
4,Luxury Formal Shirt,mens,₹3299,"Premium Egyptian cotton formal shirt with mother-of-pearl buttons. Exceptional comfort and style.","[{""name"":""White"",""value"":""#FFFFFF"",""images"":[""https://images.unsplash.com/photo-1596755094514-f87e34085b2c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Light Blue"",""value"":""#ADD8E6"",""images"":[""https://images.unsplash.com/photo-1602810316693-3667c854239a?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Pink"",""value"":""#FFC0CB"",""images"":[""https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""S"",""M"",""L"",""XL"",""XXL""]",In Stock,Hi! I'm interested in the Luxury Formal Shirt (₹3299) in {color} size {size}.
5,Designer Trousers,mens,₹2999,"Tailored formal trousers with perfect fit and premium finish. Essential for the modern gentleman's wardrobe.","[{""name"":""Black"",""value"":""#000000"",""images"":[""https://images.unsplash.com/photo-1594938298603-c8148c4dae35?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Charcoal"",""value"":""#36454F"",""images"":[""https://images.unsplash.com/photo-1473966968600-fa801b869a1a?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Navy"",""value"":""#000080"",""images"":[""https://images.unsplash.com/photo-1551028719-00167b16eac5?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""30"",""32"",""34"",""36"",""38"",""40""]",In Stock,Hi! I'm interested in the Designer Trousers (₹2999) in {color} size {size}.
6,Premium Leather Belt,mens,₹1599,"Genuine Italian leather belt with premium buckle. Essential accessory for the well-dressed gentleman.","[{""name"":""Black"",""value"":""#000000"",""images"":[""https://images.unsplash.com/photo-1553062407-98eeb64c6a62?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Brown"",""value"":""#A52A2A"",""images"":[""https://images.unsplash.com/photo-1618354691373-d851c5c3a990?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""32"",""34"",""36"",""38"",""40"",""42""]",In Stock,Hi! I'm interested in the Premium Leather Belt (₹1599) in {color} size {size}.
7,Silk Pocket Square,mens,₹899,"Elegant silk pocket square to complete your formal look. Adds sophistication to any outfit.","[{""name"":""Burgundy"",""value"":""#800020"",""images"":[""https://images.unsplash.com/photo-1618354691373-d851c5c3a990?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Navy"",""value"":""#000080"",""images"":[""https://images.unsplash.com/photo-1594736797933-d0282ba17d78?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Silver"",""value"":""#C0C0C0"",""images"":[""https://images.unsplash.com/photo-1611944212129-29977ae1398c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""Free Size""]",In Stock,Hi! I'm interested in the Silk Pocket Square (₹899) in {color}.
8,Elegant Saree,women,₹8999,"Handwoven silk saree with intricate gold border. Traditional elegance meets contemporary style.","[{""name"":""Crimson"",""value"":""#DC143C"",""images"":[""https://images.unsplash.com/photo-1610030469983-98e550d6193c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Royal Blue"",""value"":""#4169E1"",""images"":[""https://images.unsplash.com/photo-1583391733956-6c78276477e2?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Emerald"",""value"":""#50C878"",""images"":[""https://images.unsplash.com/photo-1596755094514-f87e34085b2c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""Free Size""]",In Stock,Hi! I'm interested in the Elegant Saree (₹8999) in {color}. Please share more details.
9,Designer Kurti,women,₹2499,"Contemporary kurti with ethnic prints. Perfect blend of comfort and style for modern women.","[{""name"":""Pink"",""value"":""#FFC0CB"",""images"":[""https://images.unsplash.com/photo-1594736797933-d0282ba17d78?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Turquoise"",""value"":""#40E0D0"",""images"":[""https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Yellow"",""value"":""#FFFF00"",""images"":[""https://images.unsplash.com/photo-1602810316693-3667c854239a?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""XS"",""S"",""M"",""L"",""XL""]",In Stock,Hi! I'm interested in the Designer Kurti (₹2499) in {color} size {size}.
10,Formal Dress,women,₹4999,"Sophisticated evening dress perfect for formal occasions. Elegant silhouette with premium fabric.","[{""name"":""Black"",""value"":""#000000"",""images"":[""https://images.unsplash.com/photo-1594938298603-c8148c4dae35?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Navy"",""value"":""#000080"",""images"":[""https://images.unsplash.com/photo-1551028719-00167b16eac5?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Burgundy"",""value"":""#800020"",""images"":[""https://images.unsplash.com/photo-1605518216938-7c31b7b14ad0?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""XS"",""S"",""M"",""L"",""XL""]",In Stock,Hi! I'm interested in the Formal Dress (₹4999) in {color} size {size}.
11,Luxury Shawl,women,₹3999,"Premium pashmina shawl with delicate embroidery. Perfect accessory for elegant occasions.","[{""name"":""Cream"",""value"":""#F5F5DC"",""images"":[""https://images.unsplash.com/photo-1610030469983-98e550d6193c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Burgundy"",""value"":""#800020"",""images"":[""https://images.unsplash.com/photo-1605518216938-7c31b7b14ad0?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Black"",""value"":""#000000"",""images"":[""https://images.unsplash.com/photo-1594938298603-c8148c4dae35?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""Free Size""]",In Stock,Hi! I'm interested in the Luxury Shawl (₹3999) in {color}.
12,Kids Coat Pant Set,kids,₹2499,"Adorable formal wear for little gentlemen. Premium fabric with comfortable fit for special occasions.","[{""name"":""Navy"",""value"":""#000080"",""images"":[""images/coat-pant-set-kids.jpg"",""https://images.unsplash.com/photo-1600195077907-c7435b1f1d35?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Charcoal"",""value"":""#36454F"",""images"":[""https://images.unsplash.com/photo-1600195077907-c7435b1f1d35?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""2-3Y"",""4-5Y"",""6-7Y"",""8-9Y"",""10-11Y""]",In Stock,Hi! I'm interested in the Kids Coat Pant Set (₹2499) in {color} size {size}.
13,Kids Formal Shirt,kids,₹1299,"Smart formal shirt for young boys. Comfortable cotton fabric perfect for special events.","[{""name"":""White"",""value"":""#FFFFFF"",""images"":[""https://images.unsplash.com/photo-1596755094514-f87e34085b2c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Light Blue"",""value"":""#ADD8E6"",""images"":[""https://images.unsplash.com/photo-1602810316693-3667c854239a?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""2-3Y"",""4-5Y"",""6-7Y"",""8-9Y"",""10-11Y""]",In Stock,Hi! I'm interested in the Kids Formal Shirt (₹1299) in {color} size {size}.
14,Kids Party Dress,kids,₹1899,"Beautiful party dress for little princesses. Soft fabric with elegant design for special occasions.","[{""name"":""Pink"",""value"":""#FFC0CB"",""images"":[""https://images.unsplash.com/photo-1594736797933-d0282ba17d78?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Purple"",""value"":""#800080"",""images"":[""https://images.unsplash.com/photo-1610030469983-98e550d6193c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""White"",""value"":""#FFFFFF"",""images"":[""https://images.unsplash.com/photo-1596755094514-f87e34085b2c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""2-3Y"",""4-5Y"",""6-7Y"",""8-9Y"",""10-11Y""]",In Stock,Hi! I'm interested in the Kids Party Dress (₹1899) in {color} size {size}.
16,Coat Pant Set,kids,₹1299,"Stylish kids’ coat and pant set in premium fabric.,[{""name"":""Cream"",""value"":""#F5F5DC""}]images/coat-pant-set-kids.jpg,In Stock,Hi! I'm interested in the Kids Coat Pant Set (₹1299). Please share more detai
15,Designer Cufflinks,mens,₹799,"Premium metal cufflinks with intricate design. Perfect finishing touch for formal shirts.","[{""name"":""Gold"",""value"":""#FFD700"",""images"":[""https://images.unsplash.com/photo-1611944212129-29977ae1398c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]},{""name"":""Silver"",""value"":""#C0C0C0"",""images"":[""https://images.unsplash.com/photo-1594736797933-d0282ba17d78?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80""]}]","[""Free Size""]",In Stock,Hi! I'm interested in the Designer Cufflinks (₹799) in {color}.
